id,MEMBERSHIP_TERM_YEARS,ANNUAL_FEES,MEMBER_MARITAL_STATUS,MEMBER_GENDER,MEMBER_ANNUAL_INCOME,MEMBER_OCCUPATION_CD,MEMBERSHIP_PACKAGE,MEMBER_AGE_AT_ISSUE,ADDITIONAL_MEMBERS,PAYMENT_MODE,AGENT_CODE,MEMBERSHIP_STATUS,START_DATE,END_DATE
0,22,100000.0,M,M,450000.0,1.0,TYPE-B,27,1,ANNUAL,666099,0,20091029,
1,88,149029.58,,M,,6.0,TYPE-A,75,0,ANNUAL,132000,0,20131014,
2,93,102999.94,,M,600000.0,1.0,TYPE-A,49,0,ANNUAL,1407177,0,20130531,
3,17,147576.48,M,F,450000.0,1.0,TYPE-A,47,3,MONTHLY,343344,0,20130331,
4,39,100000.0,M,M,600000.0,1.0,TYPE-B,36,3,ANNUAL,119199,0,20080313,
5,27,100001.0,,,,1.0,TYPE-B,59,0,ANNUAL,802744,1,20100106,20110307.0
6,17,103016.16,S,M,999996.0,2.0,TYPE-A,35,0,MONTHLY,348099,0,20130930,
7,83,235936.93,,M,801120.0,2.0,TYPE-A,43,0,ANNUAL,323400,0,20130331,
8,88,100534.5,,M,,1.0,TYPE-A,44,0,ANNUAL,824055,0,20101231,
9,12,300002.4,M,M,349992.0,1.0,TYPE-B,46,2,MONTHLY,1360477,1,20121130,20130329.0
10,97,100513.44,,M,,6.0,TYPE-A,60,0,QUARTERLY,1132833,0,20110328,
11,17,100000.06,M,F,499992.0,1.0,TYPE-A,43,3,ANNUAL,1268822,0,20130530,
12,21,120000.96,M,M,300000.0,1.0,TYPE-B,64,2,MONTHLY,639944,1,20090720,20110216.0
13,12,200000.0,,M,,1.0,TYPE-B,59,0,ANNUAL,91799,0,20101029,
14,12,144001.08,S,M,380004.0,1.0,TYPE-B,26,0,MONTHLY,711644,0,20091127,
15,36,100000.0,S,F,300000.0,1.0,TYPE-B,58,0,ANNUAL,900622,0,20100831,
16,54,100000.0,M,M,999996.0,1.0,TYPE-B,41,1,SEMI-ANNUAL,847244,0,20100129,
17,17,100000.41,S,M,399996.0,5.0,TYPE-A,24,0,ANNUAL,1341700,0,20130213,
18,82,110000.08,,M,499992.0,2.0,TYPE-A,52,0,ANNUAL,624800,0,20130828,
19,21,101000.0,W,F,368004.0,1.0,TYPE-B,74,0,ANNUAL,936822,0,20100615,
20,30,504004.08,M,M,3000000.0,1.0,TYPE-B,55,1,MONTHLY,343411,0,20090319,
21,42,150000.0,M,M,500004.0,1.0,TYPE-B,53,3,ANNUAL,739133,0,20100614,
22,42,500055.0,,,,1.0,TYPE-B,56,2,ANNUAL,657955,1,20100830,20111027.0
23,63,100004.62,S,M,800004.0,1.0,TYPE-B,25,0,ANNUAL,827422,0,20100331,
24,29,100000.0,W,F,300000.0,1.0,TYPE-B,56,0,ANNUAL,225288,1,20080623,20100822.0
25,12,140000.0,M,M,420000.0,1.0,TYPE-B,62,2,ANNUAL,53777,0,20080331,
26,12,120000.0,M,M,799992.0,1.0,TYPE-B,34,1,SEMI-ANNUAL,1267500,0,20120727,
27,17,104995.97,M,M,,6.0,TYPE-A,62,2,ANNUAL,347755,0,20130910,
28,17,100000.0,S,M,500004.0,1.0,TYPE-B,20,0,ANNUAL,672199,0,20090831,
29,12,100000.0,M,M,249996.0,1.0,TYPE-B,46,1,SEMI-ANNUAL,66088,1,20080603,20100201.0
30,53,120000.96,S,M,274992.0,1.0,TYPE-B,29,0,MONTHLY,549577,1,20081229,20090428.0
31,72,2000000.34,,M,9900000.0,2.0,TYPE-A,58,1,ANNUAL,1256722,1,20120326,20130425.0
32,12,100000.0,S,F,300000.0,2.0,TYPE-B,50,0,ANNUAL,1367855,0,20121231,
33,12,200000.0,M,M,399996.0,1.0,TYPE-B,38,2,ANNUAL,1375644,0,20121231,
34,27,100000.0,M,M,600000.0,1.0,TYPE-B,44,3,SEMI-ANNUAL,703388,0,20090909,
35,12,100000.0,M,M,249996.0,1.0,TYPE-B,38,1,SEMI-ANNUAL,402144,0,20090330,
36,68,110979.48,M,F,499992.0,2.0,TYPE-A,37,2,ANNUAL,1314366,0,20130330,
37,40,100000.0,M,M,600000.0,1.0,TYPE-B,44,2,ANNUAL,304111,0,20080915,
38,22,100000.0,M,M,3600000.0,1.0,TYPE-B,39,3,ANNUAL,601466,0,20120928,
39,27,250000.49,,M,1500000.0,2.0,TYPE-A,75,0,ANNUAL,12844,0,20130729,
40,22,103090.16,,F,450000.0,1.0,TYPE-A,43,0,ANNUAL,343344,0,20131111,
41,68,101550.0,M,M,999996.0,1.0,TYPE-A,36,3,ANNUAL,17411,1,20101231,20120127.0
42,32,100174.86,W,F,274992.0,2.0,TYPE-A,51,0,ANNUAL,1153199,0,20120309,
43,17,103118.76,M,F,,6.0,TYPE-A,66,1,SEMI-ANNUAL,343377,0,20130522,
44,12,100000.0,M,F,350004.0,1.0,TYPE-B,43,2,ANNUAL,305933,0,20091119,
45,12,100000.0,M,M,249996.0,1.0,TYPE-B,47,3,SEMI-ANNUAL,425166,1,20080926,20090527.0
46,12,250000.0,M,M,3699996.0,1.0,TYPE-B,33,2,ANNUAL,404111,1,20081229,20100226.0
47,27,100000.0,,,,1.0,TYPE-B,60,0,ANNUAL,1069899,1,20100826,20111025.0
48,12,250000.0,,F,,4.0,TYPE-B,69,0,ANNUAL,499499,1,20120229,20130429.0
49,42,200000.0,M,M,999996.0,1.0,TYPE-B,53,3,ANNUAL,739255,0,20100730,
50,38,120000.0,M,M,1400004.0,1.0,TYPE-B,46,2,SEMI-ANNUAL,6288,0,20080428,
51,56,187050.26,M,M,999996.0,2.0,TYPE-A,48,3,ANNUAL,1133688,0,20111227,
52,17,100000.0,,,,6.0,TYPE-B,67,1,ANNUAL,807444,1,20100111,20110312.0
53,41,200000.0,M,M,999996.0,1.0,TYPE-B,54,3,ANNUAL,739255,1,20100430,20110627.0
54,27,243795.12,W,F,799992.0,2.0,TYPE-A,46,0,MONTHLY,1079488,0,20130930,
55,17,124198.92,M,M,999996.0,1.0,TYPE-A,48,1,MONTHLY,343344,0,20130110,
56,17,203994.49,M,M,1200000.0,2.0,TYPE-A,52,2,ANNUAL,1349422,0,20131129,
57,22,103090.03,,M,3000000.0,2.0,TYPE-A,4,1,ANNUAL,1394400,0,20130729,
58,96,301544.09,,M,,1.0,TYPE-A,63,0,ANNUAL,1186511,0,20110429,
59,22,185561.76,M,F,750000.0,1.0,TYPE-A,39,1,MONTHLY,343344,0,20130624,
60,12,120000.96,S,F,180000.0,1.0,TYPE-B,25,0,MONTHLY,576200,1,20090113,20090512.0
61,53,100000.0,M,M,200004.0,1.0,TYPE-B,29,2,SEMI-ANNUAL,467244,0,20090629,
62,12,199999.99,M,M,,6.0,TYPE-B,63,1,ANNUAL,1300677,1,20120229,20130429.0
63,42,100000.0,M,M,200004.0,1.0,TYPE-B,43,3,SEMI-ANNUAL,644588,0,20090313,
64,17,100000.08,S,M,399996.0,1.0,TYPE-B,22,0,ANNUAL,265433,1,20090604,20110803.0
65,12,240000.0,M,F,99996.0,1.0,TYPE-B,55,1,ANNUAL,1327211,0,20130331,
66,17,327999.4,M,M,150000.0,1.0,TYPE-A,58,1,QUARTERLY,680855,0,20121231,
67,32,100000.0,M,M,1099992.0,1.0,TYPE-B,62,3,SEMI-ANNUAL,825144,0,20100830,
68,27,113269.4,M,M,399996.0,1.0,TYPE-A,46,1,SEMI-ANNUAL,343388,0,20120810,
69,12,125001.0,S,M,480000.0,1.0,TYPE-B,25,0,MONTHLY,1466333,0,20130930,
70,12,1000000.0,,F,121464.0,,TYPE-B,8,2,ANNUAL,1334722,0,20130331,
71,22,100000.0,S,M,300000.0,1.0,TYPE-B,22,0,ANNUAL,461211,1,20111111,20130109.0
72,17,180000.0,,,,1.0,TYPE-B,66,0,MONTHLY,410599,1,20080930,20090429.0
73,12,200000.0,S,F,1380000.0,1.0,TYPE-B,23,0,ANNUAL,810944,0,20091202,
74,26,150000.0,S,M,,6.0,TYPE-B,69,0,ANNUAL,343477,1,20100830,20111027.0
75,27,100000.0,M,M,600000.0,1.0,TYPE-B,36,2,ANNUAL,873622,0,20100226,
76,48,100000.0,M,F,150000.0,1.0,TYPE-B,47,2,ANNUAL,792622,0,20100129,
77,43,100000.0,S,M,99996.0,1.0,TYPE-B,42,0,ANNUAL,428300,0,20081017,
78,17,100000.0,M,M,500004.0,1.0,TYPE-B,45,1,SEMI-ANNUAL,262877,0,20090202,
79,78,106999.98,S,M,750000.0,1.0,TYPE-A,24,0,ANNUAL,1132655,0,20131007,
80,17,105151.44,M,M,799992.0,1.0,TYPE-A,41,2,MONTHLY,343488,0,20130617,
81,43,501000.0,M,M,1400004.0,1.0,TYPE-B,51,1,ANNUAL,1128977,1,20100831,20111027.0
82,22,100000.0,M,M,350004.0,1.0,TYPE-B,49,3,ANNUAL,409999,0,20090331,
83,12,185000.0,M,M,435000.0,1.0,TYPE-B,42,1,ANNUAL,166644,1,20110131,20130329.0
84,27,123705.84,S,F,300000.0,1.0,TYPE-A,42,0,MONTHLY,343344,0,20130131,
85,39,180001.44,M,F,500004.0,1.0,TYPE-B,45,1,MONTHLY,183611,0,20090810,
86,17,121819.56,M,M,799992.0,2.0,TYPE-A,53,1,MONTHLY,1297355,1,20120330,20120612.0
87,17,188174.04,M,M,1699992.0,1.0,TYPE-A,51,2,MONTHLY,348166,0,20130531,
88,27,120000.0,S,M,450000.0,1.0,TYPE-B,25,0,MONTHLY,252411,1,20080630,20081027.0
89,12,100000.0,M,M,15926724.0,2.0,TYPE-B,44,1,SEMI-ANNUAL,293011,1,20130218,20131017.0
90,42,120000.96,M,M,2499996.0,1.0,TYPE-B,42,2,MONTHLY,132888,0,20090227,
91,12,200000.0,M,M,240000.0,1.0,TYPE-B,39,3,ANNUAL,1156411,1,20110425,20120624.0
92,44,120000.0,M,M,449724.0,1.0,TYPE-B,51,3,MONTHLY,325777,0,20100503,
93,17,250000.0,M,M,3000000.0,1.0,TYPE-B,51,3,ANNUAL,688911,1,20091130,20110127.0
94,12,100000.0,S,F,159996.0,1.0,TYPE-B,27,0,ANNUAL,1130944,1,20110314,20120511.0
95,12,100000.0,,,,1.0,TYPE-B,78,3,ANNUAL,343344,0,20091009,
96,22,100000.68,M,M,699996.0,1.0,TYPE-A,34,2,MONTHLY,1379422,0,20131014,
97,12,300000.0,M,M,3000000.0,1.0,TYPE-B,41,1,ANNUAL,1231777,1,20120330,20130527.0
98,32,120008.27,M,F,1200000.0,1.0,TYPE-A,35,1,ANNUAL,874299,0,20120330,
99,12,1499999.99,M,M,1599996.0,2.0,TYPE-B,67,2,ANNUAL,1297744,1,20120330,20130527.0
100,54,100000.0,M,M,300000.0,1.0,TYPE-B,40,2,ANNUAL,1120966,0,20100831,
101,12,120000.96,M,M,260004.0,1.0,TYPE-B,43,1,MONTHLY,238888,1,20090130,20090527.0
102,17,148031.96,W,F,900000.0,1.0,TYPE-A,47,0,ANNUAL,343344,0,20130331,
103,17,117324.67,M,F,499992.0,1.0,TYPE-A,57,3,ANNUAL,343344,0,20130218,
104,46,150000.0,M,M,450000.0,1.0,TYPE-B,48,2,QUARTERLY,508522,1,20100907,20110127.0
105,86,300000.14,,M,2100000.0,5.0,TYPE-A,47,0,ANNUAL,190155,0,20130319,
106,61,299999.93,S,M,9000000.0,1.0,TYPE-A,44,0,ANNUAL,1370855,0,20130131,
107,17,178750.02,M,F,,6.0,TYPE-A,66,2,ANNUAL,343344,0,20130331,
108,37,400003.2,M,M,999996.0,1.0,TYPE-B,47,3,QUARTERLY,513877,1,20090415,20090909.0
109,38,199999.0,M,F,999996.0,1.0,TYPE-B,47,2,ANNUAL,52011,1,20090902,20111101.0
110,19,100000.2,S,M,300000.0,1.0,TYPE-B,25,0,MONTHLY,545122,1,20081218,20090418.0
111,17,300000.0,M,M,699996.0,1.0,TYPE-B,43,2,ANNUAL,739199,1,20100628,20110827.0
112,17,147759.44,M,M,,6.0,TYPE-A,66,2,ANNUAL,1304133,0,20121130,
113,12,100000.0,M,M,849996.0,1.0,TYPE-B,30,1,ANNUAL,1275399,0,20111128,
114,17,106000.26,M,M,499992.0,2.0,TYPE-A,44,2,SEMI-ANNUAL,1149377,0,20131113,
115,12,100000.0,S,M,600000.0,5.0,TYPE-B,28,0,ANNUAL,141699,0,20090929,
