사용자,댓글,좋아요,날짜
KB손해보험 다이렉트,"KBrave Girls와 함께 하는 만기알림 신청만 – 해 EVENT!  구하기가 하늘의 별따기라는 쁘걸 포토카드와 브로마이드 득템 기회가 바로 지금, 여기!   지금 바로 아래 링크를 통해 KB다이렉트에서 자동차보험 만기알림 서비스를 신청해주세요! 쁘걸 굳즈 추첨 증정 및 대상자 전원에게 해피콘 2천원을 증정해 드립니다!  지금 참여하기: https://bit.ly/3jQl3Ej  만기알림 서비스 신청 시 > 갱신이 다가오는 일자에 안내 해 드려요! > 만기일 놓칠 일 없이, 미리미리 알림 해 드립니다~띠링 띠링~    참여 기간 : 8/17(화) ~ 9/30(목)  참여 대상자 :본 이벤트페이지를 통해 자동차보험 만기알림 서비스 신청     (현재 KB손해보험의 자동차보험 가입자나 신차/중고차 구입 예정자는 이벤트 대상이 아닙니다.)  참여시 경품 - 브레이브걸스 포토카드(한정수량 추첨) - 브레이브걸스 브로마이드(한정수량 추첨) - 해피콘 2천원 대상자 전원증정   [이벤트 유의사항] - 참여 방법 및 경품 등에 관련한 상세 내용은 이벤트 페이지에서 확인하실 수 있습니다.   이 보험계약은 예금자보호법에따라, 본 보험회사에 있는 귀하의 모든 예금보호대상 금융상품의 해지환급금 또는 만기 시 보험금이나 사고 보험금에 기타 지급금을 합한 금액을 예금보험공사가 1인당 최고 5천만원까지 보호하며, 5천만원을 초과하는 나머지 금액은 보호되지 않습니다. 보험계약자가 기존에 체결했던 보험계약을 해지하고 다른 보험계약을 체결하면 보험 인수가 거절되거나 보험료가 인상되거나 보장내용이 달라질 수 있습니다. 면책 및 지급제한 사유 등으로 인해 보험금 지급이 제한될 수 있습니다. 보험계약 체결 전 상품설명서 및 약관을 읽어보시기 바랍니다. KB손해보험은 해당 상품에 대해 충분히 설명할 의무가 있으며, 가입자는 가입에 앞서 이에 대한 충분한 설명을 받으시기 바랍니다. 준법감시인 심의필 제2021-367호(2021.08.13~2022.08.12)",3,1년 전(수정됨)
Login Game,정답: 대중교통 할인특약 할인송이 진짜 귀에 쏙쏙 들어오고 멜로디가 너무 좋아요!  중독성도 있어서 자꾸 흥얼흥얼 거리게 되네요. KB손해보험 화이팅!!,4,1년 전
64 iw,귀속에서 계속 맴도는 중독성 있는 노래네요. 정답은 대중교통 할인특약 입니다,7,1년 전
Kimilseung Kim,대중교통 할인특약 노래 넘 좋아서 계속듣게 되네요~,0,1년 전
야호,정답 : 대중교통 할인특약 노래 너무 신나고 좋네요ㅎㅎ 멜로디도 가사도 귀에 쏙쏙 들어오네요~ 운전자보험은 KB다이렉트! 응원합니다 화이팅^^,0,1년 전
Soo Jung Kim,정답; 대중교통 할인특약 노래 입가에 계속 맴도네요ㅎㅎ 중독성 최고!!,0,1년 전
arcyoon,CF 송을 이렇게 잘 부르다니.^^  꽉꽉 압축한 가사에도 리듬이 통통 튀네.,0,1년 전
김성연,정답 : 대중교통 할인특약 브레이브걸스!! 중독성 최고! 정말 좋네요!,7,1년 전
MO MO,정답- 대중교통 할인특약 중독성 최고네요 ! 계속 귓가에 맴돌고 저도 모르게 따라 부르게 되네요 ㅎ,0,1년 전
Luis Horna,Great Marketing moveBrave Girls are an Entertaining Power House now️ They are indeed “Sold Out “ Queens They can do it all From Summer Queens to DJ’s and even sell ice to Eskimos,0,1년 전
박선희,대중교통할인특약 좋아요~~ 중독성있게 자꾸 듣고 싶어요,0,1년 전
신소유,"정답: 대중교통 할인특약 할인송이 진짜 귀에 쏙쏙 들어오고 멜로디 존좋 ><",0,1년 전
김명수,정답 : 대중교통 할인특약 중독성 있는 노래에 자꾸 듣게 되는데요! ㅎㅎㅎ 쁘걸 덕분에 KB손해보험 다이렉트가 더욱 많은 사랑받길 응원합니다~!,0,1년 전
Bruce,할인!! 할인!! KB~ 할인!! 할인!! KB~ 드디어!! 보험을 바꿀 때가 왔다!!,19,1년 전
susuk200,️대중교통 할인특약️  노래 중독성 쩌네요*^^* KB손해보험 좋아요,0,1년 전
최현화,정답 (대중교통 할인특약)  영상보니까 너무 시원하고 좋아요. 종종 이런거 올려주세요.,2,1년 전
안상임,정답: 대중교통 할인특약 노래중독성있네요ㅎㅎ 계속 따라부르게돼요 KB손해보험 다이렉트 응원합니다️️,1,1년 전
박지환,"정답 : 대중교통 할인특약 한번 들으면 절대 안잊어버릴거 같은 중독성 갑이네요ㅋㅋ 믿고 가입하는 KB다이렉트, 믿고 듣는 브레이브걸스 함께 응원해요:)",0,1년 전
리프리프,노래 중독성 최고에요. 손해보험 특약도 최고에요 대중교통 할인특약,2,1년 전
팡팡,정답 : 대중교통 할인특약 노래 중독성 최고네요ㅎㅎ KB손해보험 다이렉트 언제나 응원하겠습니다,1,1년 전(수정됨)
