basYm,crno,fncoCd,fncoNm,ClsfAmt,RatDcd,RatDcdNm
201709,1101110013328,0010626,메리츠화재해상보험주식회사,76.97,A,경과손해율_자동차
202109,1101110013328,0010626,메리츠화재해상보험주식회사,75.77,A,경과손해율_자동차
201609,1101110013328,0010626,메리츠화재해상보험주식회사,83.09,A,경과손해율_자동차
201403,1101110013328,0010626,메리츠화재해상보험주식회사,91.3,A,경과손해율_자동차
202203,1101110013328,0010626,메리츠화재해상보험주식회사,73.07,A,경과손해율_자동차
201503,1101110013328,0010626,메리츠화재해상보험주식회사,90.89,A,경과손해율_자동차
201806,1101110013328,0010626,메리츠화재해상보험주식회사,77.41,A,경과손해율_자동차
201106,1101110013328,0010626,메리츠화재해상보험주식회사,81.78,A,경과손해율_자동차
201809,1101110013328,0010626,메리츠화재해상보험주식회사,79.69,A,경과손해율_자동차
201203,1101110013328,0010626,메리츠화재해상보험주식회사,83.94,A,경과손해율_자동차
201712,1101110013328,0010626,메리츠화재해상보험주식회사,78.15,A,경과손해율_자동차
201312,1101110013328,0010626,메리츠화재해상보험주식회사,90.66,A,경과손해율_자동차
201409,1101110013328,0010626,메리츠화재해상보험주식회사,92.21,A,경과손해율_자동차
201209,1101110013328,0010626,메리츠화재해상보험주식회사,81.13,A,경과손해율_자동차
201212,1101110013328,0010626,메리츠화재해상보험주식회사,85.64,A,경과손해율_자동차
202009,1101110013328,0010626,메리츠화재해상보험주식회사,80.79,A,경과손해율_자동차
201612,1101110013328,0010626,메리츠화재해상보험주식회사,84.1,A,경과손해율_자동차
202112,1101110013328,0010626,메리츠화재해상보험주식회사,77.45,A,경과손해율_자동차
201306,1101110013328,0010626,메리츠화재해상보험주식회사,87.09,A,경과손해율_자동차
201703,1101110013328,0010626,메리츠화재해상보험주식회사,77.28,A,경과손해율_자동차
201112,1101110013328,0010626,메리츠화재해상보험주식회사,84.22,A,경과손해율_자동차
202006,1101110013328,0010626,메리츠화재해상보험주식회사,80.68,A,경과손해율_자동차
201309,1101110013328,0010626,메리츠화재해상보험주식회사,88.08,A,경과손해율_자동차
201412,1101110013328,0010626,메리츠화재해상보험주식회사,94.77,A,경과손해율_자동차
201506,1101110013328,0010626,메리츠화재해상보험주식회사,90.45,A,경과손해율_자동차
201603,1101110013328,0010626,메리츠화재해상보험주식회사,85.84,A,경과손해율_자동차
201206,1101110013328,0010626,메리츠화재해상보험주식회사,79.02,A,경과손해율_자동차
201303,1101110013328,0010626,메리츠화재해상보험주식회사,86.4,A,경과손해율_자동차
201406,1101110013328,0010626,메리츠화재해상보험주식회사,91.82,A,경과손해율_자동차
201109,1101110013328,0010626,메리츠화재해상보험주식회사,83.31,A,경과손해율_자동차
201509,1101110013328,0010626,메리츠화재해상보험주식회사,91.26,A,경과손해율_자동차
201906,1101110013328,0010626,메리츠화재해상보험주식회사,84.66,A,경과손해율_자동차
201512,1101110013328,0010626,메리츠화재해상보험주식회사,92.96,A,경과손해율_자동차
202003,1101110013328,0010626,메리츠화재해상보험주식회사,82.0,A,경과손해율_자동차
201803,1101110013328,0010626,메리츠화재해상보험주식회사,78.82,A,경과손해율_자동차
201706,1101110013328,0010626,메리츠화재해상보험주식회사,76.12,A,경과손해율_자동차
201606,1101110013328,0010626,메리츠화재해상보험주식회사,83.99,A,경과손해율_자동차
201709,1101110006456,0010627,한화손해보험주식회사,79.68,A,경과손해율_자동차
202109,1101110006456,0010627,한화손해보험주식회사,80.74,A,경과손해율_자동차
201609,1101110006456,0010627,한화손해보험주식회사,83.72,A,경과손해율_자동차
201403,1101110006456,0010627,한화손해보험주식회사,86.24,A,경과손해율_자동차
202203,1101110006456,0010627,한화손해보험주식회사,72.87,A,경과손해율_자동차
201503,1101110006456,0010627,한화손해보험주식회사,88.59,A,경과손해율_자동차
201806,1101110006456,0010627,한화손해보험주식회사,82.09,A,경과손해율_자동차
201106,1101110006456,0010627,한화손해보험주식회사,83.56,A,경과손해율_자동차
201809,1101110006456,0010627,한화손해보험주식회사,84.95,A,경과손해율_자동차
201203,1101110006456,0010627,한화손해보험주식회사,87.27,A,경과손해율_자동차
201712,1101110006456,0010627,한화손해보험주식회사,81.3,A,경과손해율_자동차
201312,1101110006456,0010627,한화손해보험주식회사,93.37,A,경과손해율_자동차
201409,1101110006456,0010627,한화손해보험주식회사,88.61,A,경과손해율_자동차
201209,1101110006456,0010627,한화손해보험주식회사,86.91,A,경과손해율_자동차
201212,1101110006456,0010627,한화손해보험주식회사,90.99,A,경과손해율_자동차
202009,1101110006456,0010627,한화손해보험주식회사,88.29,A,경과손해율_자동차
201612,1101110006456,0010627,한화손해보험주식회사,84.76,A,경과손해율_자동차
202112,1101110006456,0010627,한화손해보험주식회사,83.68,A,경과손해율_자동차
201306,1101110006456,0010627,한화손해보험주식회사,89.18,A,경과손해율_자동차
201703,1101110006456,0010627,한화손해보험주식회사,78.34,A,경과손해율_자동차
201112,1101110006456,0010627,한화손해보험주식회사,87.59,A,경과손해율_자동차
202006,1101110006456,0010627,한화손해보험주식회사,87.48,A,경과손해율_자동차
201309,1101110006456,0010627,한화손해보험주식회사,91.69,A,경과손해율_자동차
201412,1101110006456,0010627,한화손해보험주식회사,91.36,A,경과손해율_자동차
201506,1101110006456,0010627,한화손해보험주식회사,89.06,A,경과손해율_자동차
201603,1101110006456,0010627,한화손해보험주식회사,85.43,A,경과손해율_자동차
201206,1101110006456,0010627,한화손해보험주식회사,84.59,A,경과손해율_자동차
201303,1101110006456,0010627,한화손해보험주식회사,90.14,A,경과손해율_자동차
201406,1101110006456,0010627,한화손해보험주식회사,86.41,A,경과손해율_자동차
201109,1101110006456,0010627,한화손해보험주식회사,85.81,A,경과손해율_자동차
201509,1101110006456,0010627,한화손해보험주식회사,90.12,A,경과손해율_자동차
201906,1101110006456,0010627,한화손해보험주식회사,90.57,A,경과손해율_자동차
201512,1101110006456,0010627,한화손해보험주식회사,91.7,A,경과손해율_자동차
202003,1101110006456,0010627,한화손해보험주식회사,87.14,A,경과손해율_자동차
201803,1101110006456,0010627,한화손해보험주식회사,82.14,A,경과손해율_자동차
201706,1101110006456,0010627,한화손해보험주식회사,78.3,A,경과손해율_자동차
201606,1101110006456,0010627,한화손해보험주식회사,84.61,A,경과손해율_자동차
201709,1101110014459,0010628,롯데손해보험주식회사,87.74,A,경과손해율_자동차
202109,1101110014459,0010628,롯데손해보험주식회사,86.15,A,경과손해율_자동차
201609,1101110014459,0010628,롯데손해보험주식회사,101.39,A,경과손해율_자동차
201403,1101110014459,0010628,롯데손해보험주식회사,86.65,A,경과손해율_자동차
202203,1101110014459,0010628,롯데손해보험주식회사,74.76,A,경과손해율_자동차
201503,1101110014459,0010628,롯데손해보험주식회사,93.04,A,경과손해율_자동차
201806,1101110014459,0010628,롯데손해보험주식회사,86.76,A,경과손해율_자동차
201106,1101110014459,0010628,롯데손해보험주식회사,82.96,A,경과손해율_자동차
201809,1101110014459,0010628,롯데손해보험주식회사,89.38,A,경과손해율_자동차
201203,1101110014459,0010628,롯데손해보험주식회사,86.0,A,경과손해율_자동차
201712,1101110014459,0010628,롯데손해보험주식회사,87.45,A,경과손해율_자동차
201312,1101110014459,0010628,롯데손해보험주식회사,89.88,A,경과손해율_자동차
201409,1101110014459,0010628,롯데손해보험주식회사,88.46,A,경과손해율_자동차
